idno;cntry;health;agea;c_gdppc_2021;gndr
24572;IT;2;65;35578,8510673149;1
14855;IT;2;66;35578,8510673149;1
13217;IT;2;69;35578,8510673149;1
11260;IT;2;70;35578,8510673149;1
18232;IT;2;71;35578,8510673149;1
20181;IT;2;71;35578,8510673149;1
25387;IT;2;74;35578,8510673149;1
23155;IT;2;77;35578,8510673149;1
19433;IT;2;85;35578,8510673149;1
21359;IT;3;52;35578,8510673149;1
23650;IT;3;53;35578,8510673149;1
14854;IT;3;71;35578,8510673149;1
23526;IT;3;77;35578,8510673149;1
16209;IT;1;21;35578,8510673149;2
23660;IT;1;22;35578,8510673149;2
74918;IT;1;22;35578,8510673149;2
16902;IT;1;26;35578,8510673149;2
26116;IT;1;29;35578,8510673149;2
23091;IT;1;31;35578,8510673149;2
27185;IT;1;36;35578,8510673149;2
26735;IT;1;46;35578,8510673149;2
10596;IT;1;53;35578,8510673149;2
17270;IT;1;60;35578,8510673149;2
14748;IT;1;62;35578,8510673149;2
26468;IT;1;78;35578,8510673149;2
24875;IT;2;19;35578,8510673149;2
22658;IT;2;26;35578,8510673149;2
22966;IT;2;26;35578,8510673149;2
20529;IT;2;40;35578,8510673149;2
12626;IT;2;43;35578,8510673149;2
23718;IT;2;47;35578,8510673149;2
24351;IT;2;50;35578,8510673149;2
19068;IT;2;58;35578,8510673149;2
21492;IT;2;58;35578,8510673149;2
15927;IT;2;60;35578,8510673149;2
22803;IT;2;61;35578,8510673149;2
23538;IT;2;61;35578,8510673149;2
17738;IT;2;64;35578,8510673149;2
24997;IT;2;64;35578,8510673149;2
18694;IT;2;66;35578,8510673149;2
17027;IT;2;67;35578,8510673149;2
27446;IT;2;67;35578,8510673149;2
15163;IT;2;68;35578,8510673149;2
13168;IT;2;71;35578,8510673149;2
22794;IT;2;73;35578,8510673149;2
14169;IT;2;76;35578,8510673149;2
21368;IT;3;24;35578,8510673149;2
21012;IT;3;45;35578,8510673149;2
22604;IT;3;50;35578,8510673149;2
12596;IT;3;55;35578,8510673149;2
12914;IT;3;63;35578,8510673149;2
20771;IT;3;63;35578,8510673149;2
13923;IT;3;67;35578,8510673149;2
16382;IT;3;77;35578,8510673149;2
11825;IT;3;79;35578,8510673149;2
27410;IT;3;79;35578,8510673149;2
13816;IT;3;86;35578,8510673149;2
15657;IT;4;67;35578,8510673149;2
17316;IT;4;81;35578,8510673149;2
12301;IT;4;88;35578,8510673149;2
16436;LT;1;18;23844,1256495224;1
11691;LT;1;19;23844,1256495224;1
17362;LT;2;17;23844,1256495224;1
13047;LT;2;21;23844,1256495224;1
19796;LT;2;31;23844,1256495224;1
13177;LT;2;35;23844,1256495224;1
21000;LT;2;36;23844,1256495224;1
23778;LT;2;43;23844,1256495224;1
11872;LT;2;50;23844,1256495224;1
16896;LT;2;61;23844,1256495224;1
25018;LT;2;67;23844,1256495224;1
11868;LT;3;37;23844,1256495224;1
11039;LT;3;51;23844,1256495224;1
21046;LT;3;52;23844,1256495224;1
27038;LT;3;52;23844,1256495224;1
23811;LT;3;66;23844,1256495224;1
27931;LT;4;51;23844,1256495224;1
13886;LT;4;71;23844,1256495224;1
19627;LT;1;22;23844,1256495224;2
21535;LT;1;24;23844,1256495224;2
24891;LT;1;30;23844,1256495224;2
12017;LT;1;43;23844,1256495224;2
25978;LT;2;20;23844,1256495224;2
11495;LT;2;32;23844,1256495224;2
17117;LT;2;33;23844,1256495224;2
18004;LT;2;37;23844,1256495224;2
15653;LT;2;42;23844,1256495224;2
24642;LT;2;46;23844,1256495224;2
22062;LT;2;47;23844,1256495224;2
16684;LT;2;48;23844,1256495224;2
13216;LT;2;49;23844,1256495224;2
20090;LT;2;53;23844,1256495224;2
12643;LT;2;57;23844,1256495224;2
12633;LT;2;62;23844,1256495224;2
20320;LT;2;64;23844,1256495224;2
20193;LT;3;19;23844,1256495224;2
11292;LT;3;49;23844,1256495224;2
11597;LT;3;49;23844,1256495224;2
15403;LT;3;49;23844,1256495224;2
25780;LT;3;50;23844,1256495224;2
24977;LT;3;51;23844,1256495224;2
21201;LT;3;58;23844,1256495224;2
27086;LT;3;59;23844,1256495224;2
10985;LT;3;60;23844,1256495224;2
26963;LT;3;61;23844,1256495224;2
11493;LT;3;64;23844,1256495224;2
10304;LT;3;68;23844,1256495224;2
10799;LT;3;71;23844,1256495224;2
17738;LT;3;71;23844,1256495224;2
10024;LT;3;74;23844,1256495224;2
13223;LT;3;75;23844,1256495224;2
18707;LT;3;78;23844,1256495224;2
25908;LT;3;90;23844,1256495224;2
15430;LT;4;61;23844,1256495224;2
27050;LT;4;73;23844,1256495224;2
26015;LT;4;74;23844,1256495224;2
22123;LT;4;75;23844,1256495224;2
51910;ME;1;25;9252,31191553621;1
59051;ME;1;27;9252,31191553621;1
75870;ME;1;28;9252,31191553621;1
63786;ME;1;32;9252,31191553621;1
77036;ME;1;32;9252,31191553621;1
58208;ME;1;38;9252,31191553621;1
20875;ME;1;49;9252,31191553621;1
67963;ME;1;52;9252,31191553621;1
22880;ME;2;19;9252,31191553621;1
75218;ME;2;55;9252,31191553621;1
71859;ME;2;59;9252,31191553621;1
53888;ME;2;61;9252,31191553621;1
71113;ME;3;65;9252,31191553621;1
59125;ME;3;79;9252,31191553621;1
71614;ME;4;31;9252,31191553621;1
12599;ME;4;57;9252,31191553621;1
52704;ME;4;75;9252,31191553621;1
72957;ME;4;86;9252,31191553621;1
60762;ME;1;20;9252,31191553621;2
65196;ME;1;52;9252,31191553621;2
71536;ME;2;25;9252,31191553621;2
56898;ME;2;26;9252,31191553621;2
52363;ME;2;44;9252,31191553621;2
80779;ME;2;52;9252,31191553621;2
56778;ME;2;57;9252,31191553621;2
51186;ME;2;62;9252,31191553621;2
63802;ME;3;59;9252,31191553621;2
69350;ME;3;61;9252,31191553621;2
55795;ME;3;64;9252,31191553621;2
79903;ME;4;87;9252,31191553621;2
25654;MK;1;30;6599,61934040765;1
24863;MK;1;33;6599,61934040765;1
11570;MK;1;46;6599,61934040765;1
15979;MK;1;46;6599,61934040765;1
19366;MK;1;70;6599,61934040765;1
17388;MK;2;26;6599,61934040765;1
27613;MK;2;26;6599,61934040765;1
22636;MK;2;29;6599,61934040765;1
13757;MK;2;32;6599,61934040765;1
20257;MK;2;36;6599,61934040765;1
14737;MK;2;52;6599,61934040765;1
19380;MK;2;53;6599,61934040765;1
15525;MK;2;62;6599,61934040765;1
10369;MK;2;64;6599,61934040765;1
17486;MK;2;67;6599,61934040765;1
17484;MK;2;69;6599,61934040765;1
26693;MK;3;30;6599,61934040765;1
26616;MK;3;55;6599,61934040765;1
19238;MK;3;60;6599,61934040765;1
23103;MK;3;60;6599,61934040765;1
21949;MK;3;63;6599,61934040765;1
26204;MK;3;68;6599,61934040765;1
15818;MK;1;16;6599,61934040765;2
22820;MK;1;23;6599,61934040765;2
14090;MK;1;27;6599,61934040765;2
18900;MK;1;32;6599,61934040765;2
14536;MK;1;42;6599,61934040765;2
13193;MK;1;49;6599,61934040765;2
23482;MK;2;28;6599,61934040765;2
18730;MK;2;46;6599,61934040765;2
12333;MK;2;49;6599,61934040765;2
14824;MK;2;56;6599,61934040765;2
22415;MK;2;56;6599,61934040765;2
16011;MK;3;22;6599,61934040765;2
20098;MK;3;49;6599,61934040765;2
25202;MK;3;56;6599,61934040765;2
12589;MK;3;59;6599,61934040765;2
21772;MK;3;67;6599,61934040765;2
15705;MK;4;43;6599,61934040765;2
13737;MK;4;58;6599,61934040765;2
19796;MK;4;61;6599,61934040765;2
21742;MK;4;68;6599,61934040765;2
14123;MK;4;70;6599,61934040765;2
20792;MK;4;70;6599,61934040765;2
14738;MK;4;72;6599,61934040765;2
16720;MK;4;83;6599,61934040765;2
52791;NL;1;18;57871,3492096268;1
73637;NL;1;25;57871,3492096268;1
60370;NL;1;35;57871,3492096268;1
67836;NL;1;49;57871,3492096268;1
77955;NL;1;55;57871,3492096268;1
67891;NL;2;17;57871,3492096268;1
70930;NL;2;21;57871,3492096268;1
79307;NL;2;21;57871,3492096268;1
71206;NL;2;24;57871,3492096268;1
60299;NL;2;29;57871,3492096268;1
59914;NL;2;31;57871,3492096268;1
65038;NL;2;34;57871,3492096268;1
79148;NL;2;36;57871,3492096268;1
59099;NL;2;49;57871,3492096268;1
72176;NL;2;55;57871,3492096268;1
69573;NL;2;59;57871,3492096268;1
78128;NL;2;63;57871,3492096268;1
76738;NL;2;67;57871,3492096268;1
57817;NL;2;70;57871,3492096268;1
54433;NL;2;71;57871,3492096268;1
77159;NL;2;74;57871,3492096268;1
73492;NL;2;76;57871,3492096268;1
77127;NL;3;30;57871,3492096268;1
50005;NL;3;54;57871,3492096268;1
73854;NL;3;76;57871,3492096268;1
60554;NL;3;79;57871,3492096268;1
77417;NL;5;49;57871,3492096268;1
75405;NL;1;19;57871,3492096268;2
57199;NL;1;39;57871,3492096268;2
55136;NL;1;45;57871,3492096268;2
57680;NL;1;48;57871,3492096268;2
64178;NL;1;53;57871,3492096268;2
56186;NL;2;19;57871,3492096268;2
75297;NL;2;19;57871,3492096268;2
50449;NL;2;31;57871,3492096268;2
70470;NL;2;35;57871,3492096268;2
52800;NL;2;49;57871,3492096268;2
60317;NL;2;51;57871,3492096268;2
61556;NL;2;52;57871,3492096268;2
80923;NL;2;59;57871,3492096268;2
76932;NL;2;64;57871,3492096268;2
74894;NL;2;70;57871,3492096268;2
70700;NL;2;71;57871,3492096268;2
70245;NL;3;36;57871,3492096268;2
67904;NL;3;39;57871,3492096268;2
71183;NL;3;43;57871,3492096268;2
52330;NL;3;46;57871,3492096268;2
63966;NL;3;54;57871,3492096268;2
61031;NL;3;55;57871,3492096268;2
56383;NL;3;61;57871,3492096268;2
77107;NL;3;71;57871,3492096268;2
78065;NL;4;63;57871,3492096268;2
54152;NO;1;41;89241,7139378055;1
66525;NO;1;45;89241,7139378055;1
51557;NO;1;53;89241,7139378055;1
76220;NO;1;54;89241,7139378055;1
67580;NO;1;58;89241,7139378055;1
73785;NO;1;59;89241,7139378055;1
70785;NO;2;22;89241,7139378055;1
60126;NO;2;25;89241,7139378055;1
62297;NO;2;44;89241,7139378055;1
62329;NO;2;44;89241,7139378055;1
79885;NO;2;46;89241,7139378055;1
77585;NO;2;55;89241,7139378055;1
51531;NO;2;56;89241,7139378055;1
54965;NO;2;73;89241,7139378055;1
79957;NO;3;17;89241,7139378055;1
74615;NO;3;19;89241,7139378055;1
69490;NO;3;30;89241,7139378055;1
57834;NO;3;47;89241,7139378055;1
68928;NO;3;69;89241,7139378055;1
53884;NO;4;50;89241,7139378055;1
51655;NO;4;58;89241,7139378055;1
77812;NO;1;22;89241,7139378055;2
76795;NO;1;25;89241,7139378055;2
52143;NO;1;28;89241,7139378055;2
64402;NO;1;36;89241,7139378055;2
59478;NO;1;52;89241,7139378055;2
51981;NO;1;54;89241,7139378055;2
59213;NO;1;55;89241,7139378055;2
58760;NO;1;57;89241,7139378055;2
67074;NO;1;58;89241,7139378055;2
80192;NO;1;62;89241,7139378055;2
51797;NO;2;39;89241,7139378055;2
56843;NO;2;39;89241,7139378055;2
79267;NO;2;49;89241,7139378055;2
73427;NO;2;54;89241,7139378055;2
78817;NO;2;54;89241,7139378055;2
71610;NO;2;57;89241,7139378055;2
80516;NO;2;63;89241,7139378055;2
62309;NO;2;67;89241,7139378055;2
50733;NO;2;71;89241,7139378055;2
53520;NO;3;31;89241,7139378055;2
54177;NO;3;49;89241,7139378055;2
73830;NO;3;68;89241,7139378055;2
57103;NO;3;76;89241,7139378055;2
70634;NO;4;53;89241,7139378055;2
62353;NO;5;29;89241,7139378055;2
71809;NO;5;53;89241,7139378055;2
75621;PT;1;30;24651,1764348733;1
52374;PT;1;37;24651,1764348733;1
51698;PT;2;32;24651,1764348733;1
65299;PT;2;36;24651,1764348733;1
54446;PT;2;40;24651,1764348733;1
63798;PT;2;44;24651,1764348733;1
58422;PT;2;53;24651,1764348733;1
54623;PT;2;54;24651,1764348733;1
73468;PT;2;55;24651,1764348733;1
57049;PT;2;56;24651,1764348733;1
50925;PT;2;72;24651,1764348733;1
54828;PT;3;61;24651,1764348733;1
55065;PT;3;66;24651,1764348733;1
79719;PT;3;68;24651,1764348733;1
52531;PT;3;69;24651,1764348733;1
73186;PT;3;79;24651,1764348733;1
56061;PT;3;83;24651,1764348733;1
72555;PT;4;61;24651,1764348733;1
65829;PT;4;74;24651,1764348733;1
61716;PT;1;47;24651,1764348733;2
51928;PT;1;62;24651,1764348733;2
60625;PT;2;33;24651,1764348733;2
79318;PT;2;36;24651,1764348733;2
63110;PT;2;37;24651,1764348733;2
78307;PT;2;39;24651,1764348733;2
57509;PT;2;40;24651,1764348733;2
51770;PT;2;50;24651,1764348733;2
59257;PT;2;53;24651,1764348733;2
65789;PT;2;53;24651,1764348733;2
68839;PT;2;53;24651,1764348733;2
50020;PT;2;68;24651,1764348733;2
73715;PT;2;71;24651,1764348733;2
78286;PT;3;17;24651,1764348733;2
52114;PT;3;35;24651,1764348733;2
63719;PT;3;39;24651,1764348733;2
79297;PT;3;45;24651,1764348733;2
78654;PT;3;48;24651,1764348733;2
55564;PT;3;50;24651,1764348733;2
75567;PT;3;51;24651,1764348733;2
76762;PT;3;52;24651,1764348733;2
56988;PT;3;58;24651,1764348733;2
77311;PT;3;59;24651,1764348733;2
58057;PT;3;64;24651,1764348733;2
63927;PT;3;64;24651,1764348733;2
75233;PT;3;64;24651,1764348733;2
64030;PT;3;66;24651,1764348733;2
65677;PT;3;70;24651,1764348733;2
74762;PT;3;74;24651,1764348733;2
53310;PT;3;77;24651,1764348733;2
55330;PT;4;17;24651,1764348733;2
71226;PT;4;64;24651,1764348733;2
64915;PT;4;69;24651,1764348733;2
57023;PT;4;83;24651,1764348733;2
66709;PT;4;85;24651,1764348733;2
27895;SI;1;20;29134,8000315499;1
10038;SI;1;26;29134,8000315499;1
15227;SI;1;32;29134,8000315499;1
12462;SI;1;39;29134,8000315499;1
27270;SI;1;47;29134,8000315499;1
24746;SI;1;51;29134,8000315499;1
14775;SI;1;52;29134,8000315499;1
21120;SI;1;64;29134,8000315499;1
14883;SI;2;35;29134,8000315499;1
20786;SI;2;42;29134,8000315499;1
21676;SI;2;50;29134,8000315499;1
10318;SI;2;60;29134,8000315499;1
22683;SI;2;61;29134,8000315499;1
15060;SI;2;62;29134,8000315499;1
27634;SI;2;63;29134,8000315499;1
16931;SI;3;55;29134,8000315499;1
14369;SI;3;71;29134,8000315499;1
25820;SI;1;18;29134,8000315499;2
22096;SI;1;29;29134,8000315499;2
15814;SI;1;35;29134,8000315499;2
24055;SI;1;39;29134,8000315499;2
22566;SI;2;21;29134,8000315499;2
23575;SI;2;22;29134,8000315499;2
26056;SI;2;25;29134,8000315499;2
23687;SI;2;30;29134,8000315499;2
21318;SI;2;32;29134,8000315499;2
25326;SI;2;32;29134,8000315499;2
12863;SI;2;54;29134,8000315499;2
25232;SI;2;58;29134,8000315499;2
20667;SI;2;59;29134,8000315499;2
16516;SI;2;72;29134,8000315499;2
14387;SI;2;73;29134,8000315499;2
25705;SI;2;83;29134,8000315499;2
16539;SI;3;47;29134,8000315499;2
15144;SI;3;49;29134,8000315499;2
23657;SI;3;50;29134,8000315499;2
17092;SI;3;72;29134,8000315499;2
15688;SI;4;61;29134,8000315499;2
20219;SK;1;27;21390,4527696121;1
23476;SK;1;35;21390,4527696121;1
16843;SK;1;42;21390,4527696121;1
20376;SK;1;45;21390,4527696121;1
27376;SK;2;24;21390,4527696121;1
15065;SK;2;34;21390,4527696121;1
12728;SK;2;35;21390,4527696121;1
22727;SK;2;46;21390,4527696121;1
13520;SK;2;51;21390,4527696121;1
20057;SK;2;55;21390,4527696121;1
18503;SK;2;68;21390,4527696121;1
15852;SK;3;46;21390,4527696121;1
17116;SK;3;60;21390,4527696121;1
23975;SK;3;63;21390,4527696121;1
25432;SK;3;63;21390,4527696121;1
17018;SK;3;71;21390,4527696121;1
19410;SK;3;73;21390,4527696121;1
14265;SK;3;81;21390,4527696121;1
21457;SK;1;28;21390,4527696121;2
14687;SK;1;33;21390,4527696121;2
11555;SK;1;49;21390,4527696121;2
19857;SK;2;26;21390,4527696121;2
14693;SK;2;37;21390,4527696121;2
19931;SK;2;37;21390,4527696121;2
14307;SK;2;38;21390,4527696121;2
20718;SK;2;38;21390,4527696121;2
24112;SK;2;42;21390,4527696121;2
13060;SK;2;45;21390,4527696121;2
15847;SK;2;48;21390,4527696121;2
10551;SK;2;56;21390,4527696121;2
18169;SK;2;69;21390,4527696121;2
23646;SK;3;41;21390,4527696121;2
24521;SK;3;46;21390,4527696121;2
20805;SK;3;50;21390,4527696121;2
24339;SK;3;64;21390,4527696121;2
27096;SK;3;69;21390,4527696121;2
13934;SK;4;44;21390,4527696121;2
